ID_Producto,Descripción,Cantidad,Precio_Unitario,Fecha_de_Venta,Color,Tamaño,Canal_de_Venta,Marca,Proveedor,Pais_de_Origen,Material
P0058,Camiseta algodón,13,16.43,2024-01-03 09:00:00,Verde,M,Tienda física,Sporty Vibes,Global Textiles Inc.,China,Denim
P0059,Pantalón denim,11,98.4,2024-01-03 10:00:00,Negro,M,Tienda física,Classic Elegance,Eco Fabrics Ltd.,México,Poliéster
P0060,Zapatos de cuero,20,95.52,2024-01-03 11:00:00,Verde,S,Tienda física,Sporty Vibes,HighTech Materials S.A.,India,Algodón
P0061,Bufanda de lana,18,86.69,2024-01-03 12:00:00,Blanco,M,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Turquía,Cuero
P0062,Zapatos de cuero,37,50.87,2024-01-03 13:00:00,Blanco,L,Online,Urban Trends,Global Textiles Inc.,India,Algodón
P0063,Bufanda de lana,6,88.38,2024-01-03 14:00:00,Negro,S,Tienda física,Sporty Vibes,Global Textiles Inc.,India,Poliéster
P0064,Bufanda de lana,20,29.87,2024-01-03 15:00:00,Blanco,L,Tienda física,Sporty Vibes,Global Textiles Inc.,India,Lana
P0065,Vestido estampado,32,81.25,2024-01-03 16:00:00,Verde,XL,Tienda física,Classic Elegance,Global Textiles Inc.,India,Denim
P0066,Camiseta algodón,46,26.67,2024-01-03 17:00:00,Azul,L,Online,Urban Trends,HighTech Materials S.A.,India,Cuero
P0067,Zapatos de cuero,44,83.38,2024-01-03 18:00:00,Blanco,XL,Online,Urban Trends,Eco Fabrics Ltd.,México,Algodón
P0068,Camiseta algodón,29,65.31,2024-01-03 19:00:00,Verde,XL,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,India,Poliéster
P0069,Bufanda de lana,4,18.82,2024-01-03 20:00:00,Verde,S,Tienda física,Classic Elegance,Global Textiles Inc.,México,Poliéster
P0070,Vestido estampado,7,90.58,2024-01-03 21:00:00,Verde,L,Tienda física,Classic Elegance,Eco Fabrics Ltd.,India,Denim
P0071,Camiseta algodón,43,62.02,2024-01-03 22:00:00,Blanco,L,Tienda física,Classic Elegance,HighTech Materials S.A.,India,Cuero
P0072,Pantalón denim,20,69.06,2024-01-03 23:00:00,Azul,L,Online,Urban Trends,Global Textiles Inc.,México,Algodón
P0073,Bufanda de lana,34,35.52,2024-01-04 00:00:00,Negro,S,Online,Urban Trends,Eco Fabrics Ltd.,India,Algodón
P0074,Pantalón denim,36,88.45,2024-01-04 01:00:00,Negro,XL,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Bangladesh,Algodón
P0075,Camiseta algodón,7,59.07,2024-01-04 02:00:00,Blanco,XL,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,India,Denim
P0076,Camiseta algodón,33,47.9,2024-01-04 03:00:00,Blanco,XL,Tienda física,Classic Elegance,Eco Fabrics Ltd.,Turquía,Denim
P0077,Camiseta algodón,15,58.09,2024-01-04 04:00:00,Rojo,S,Tienda física,Sporty Vibes,Global Textiles Inc.,México,Cuero
P0078,Zapatos de cuero,32,73.3,2024-01-04 05:00:00,Azul,S,Tienda física,Classic Elegance,Global Textiles Inc.,India,Algodón
P0079,Bufanda de lana,22,72.55,2024-01-04 06:00:00,Verde,M,Online,Urban Trends,HighTech Materials S.A.,India,Algodón
P0080,Bufanda de lana,40,42.18,2024-01-04 07:00:00,Verde,L,Tienda física,Sporty Vibes,Global Textiles Inc.,México,Cuero
P0081,Bufanda de lana,29,44.67,2024-01-04 08:00:00,Negro,XL,Tienda física,Classic Elegance,Eco Fabrics Ltd.,China,Cuero
P0082,Zapatos de cuero,25,60.6,2024-01-04 09:00:00,Blanco,M,Online,Urban Trends,Eco Fabrics Ltd.,Bangladesh,Cuero
P0083,Camiseta algodón,5,93.2,2024-01-04 10:00:00,Azul,M,Tienda física,Classic Elegance,Eco Fabrics Ltd.,Bangladesh,Poliéster
P0084,Camiseta algodón,14,77.09,2024-01-04 11:00:00,Negro,L,Tienda física,Sporty Vibes,HighTech Materials S.A.,India,Cuero
P0085,Pantalón denim,35,45.14,2024-01-04 12:00:00,Azul,S,Tienda física,Classic Elegance,Global Textiles Inc.,México,Lana
P0086,Zapatos de cuero,2,40.33,2024-01-04 13:00:00,Blanco,M,Online,Urban Trends,Global Textiles Inc.,Turquía,Denim
P0087,Vestido estampado,25,57.13,2024-01-04 14:00:00,Verde,S,Tienda física,Sporty Vibes,Global Textiles Inc.,India,Cuero
P0088,Zapatos de cuero,16,88.3,2024-01-04 15:00:00,Rojo,S,Online,Urban Trends,Eco Fabrics Ltd.,Bangladesh,Poliéster
P0089,Pantalón denim,46,10.78,2024-01-04 16:00:00,Azul,L,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,India,Lana
P0090,Pantalón denim,16,73.94,2024-01-04 17:00:00,Verde,M,Tienda física,Classic Elegance,Eco Fabrics Ltd.,México,Poliéster
P0091,Pantalón denim,11,36.51,2024-01-04 18:00:00,Azul,XL,Online,Urban Trends,HighTech Materials S.A.,Turquía,Poliéster
P0092,Camiseta algodón,49,28.76,2024-01-04 19:00:00,Azul,M,Online,Urban Trends,HighTech Materials S.A.,China,Poliéster
P0093,Vestido estampado,35,11.09,2024-01-04 20:00:00,Azul,XL,Tienda física,Classic Elegance,Eco Fabrics Ltd.,Turquía,Poliéster
P0094,Pantalón denim,23,90.69,2024-01-04 21:00:00,Blanco,XL,Online,Urban Trends,HighTech Materials S.A.,India,Algodón
P0095,Bufanda de lana,5,92.1,2024-01-04 22:00:00,Negro,S,Online,Urban Trends,HighTech Materials S.A.,Bangladesh,Denim
P0096,Camiseta algodón,35,15.53,2024-01-04 23:00:00,Azul,XL,Online,Urban Trends,HighTech Materials S.A.,México,Algodón
P0097,Vestido estampado,29,56.96,2024-01-05 00:00:00,Blanco,L,Online,Urban Trends,Global Textiles Inc.,India,Lana
P0098,Bufanda de lana,47,23.73,2024-01-05 01:00:00,Rojo,M,Tienda física,Classic Elegance,HighTech Materials S.A.,China,Algodón
P0099,Vestido estampado,5,78.28,2024-01-05 02:00:00,Negro,S,Online,Urban Trends,Eco Fabrics Ltd.,México,Lana
P0100,Vestido estampado,3,69.89,2024-01-05 03:00:00,Blanco,S,Online,Urban Trends,Global Textiles Inc.,México,Cuero
P0101,Bufanda de lana,6,36.74,2024-01-05 04:00:00,Rojo,XL,Online,Urban Trends,HighTech Materials S.A.,México,Lana
P0102,Zapatos de cuero,23,20.53,2024-01-05 05:00:00,Negro,S,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,India,Algodón
P0103,Vestido estampado,46,84.81,2024-01-05 06:00:00,Blanco,L,Tienda física,Sporty Vibes,HighTech Materials S.A.,China,Algodón
P0104,Zapatos de cuero,2,70.68,2024-01-05 07:00:00,Rojo,L,Tienda física,Classic Elegance,Eco Fabrics Ltd.,India,Lana
P0105,Vestido estampado,18,10.61,2024-01-05 08:00:00,Blanco,S,Tienda física,Classic Elegance,Eco Fabrics Ltd.,México,Algodón
P0106,Bufanda de lana,30,66.51,2024-01-05 09:00:00,Rojo,S,Tienda física,Classic Elegance,HighTech Materials S.A.,México,Lana
P0107,Vestido estampado,38,82.93,2024-01-05 10:00:00,Azul,L,Online,Urban Trends,HighTech Materials S.A.,Bangladesh,Poliéster
P0108,Pantalón denim,5,63.17,2024-01-05 11:00:00,Azul,XL,Tienda física,Sporty Vibes,Global Textiles Inc.,Turquía,Denim
P0109,Pantalón denim,46,48.22,2024-01-05 12:00:00,Negro,S,Tienda física,Sporty Vibes,HighTech Materials S.A.,India,Lana
P0110,Vestido estampado,49,62.55,2024-01-05 13:00:00,Rojo,XL,Tienda física,Classic Elegance,Eco Fabrics Ltd.,China,Poliéster
P0111,Bufanda de lana,11,65.77,2024-01-05 14:00:00,Azul,S,Tienda física,Sporty Vibes,Global Textiles Inc.,México,Poliéster
P0112,Bufanda de lana,1,67.6,2024-01-05 15:00:00,Negro,L,Tienda física,Classic Elegance,Eco Fabrics Ltd.,India,Poliéster
P0113,Camiseta algodón,10,97.03,2024-01-05 16:00:00,Verde,S,Online,Urban Trends,Eco Fabrics Ltd.,Turquía,Poliéster
P0114,Bufanda de lana,41,26.08,2024-01-05 17:00:00,Azul,S,Tienda física,Sporty Vibes,HighTech Materials S.A.,India,Lana
P0115,Zapatos de cuero,44,66.08,2024-01-05 18:00:00,Azul,S,Online,Urban Trends,Eco Fabrics Ltd.,Turquía,Algodón
P0116,Vestido estampado,26,26.92,2024-01-05 19:00:00,Blanco,L,Online,Urban Trends,HighTech Materials S.A.,India,Poliéster
P0117,Pantalón denim,33,28.9,2024-01-05 20:00:00,Verde,L,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Bangladesh,Cuero
P0118,Bufanda de lana,27,70.23,2024-01-05 21:00:00,Rojo,L,Tienda física,Classic Elegance,Global Textiles Inc.,India,Poliéster
P0119,Pantalón denim,12,92.44,2024-01-05 22:00:00,Negro,M,Tienda física,Sporty Vibes,HighTech Materials S.A.,Bangladesh,Algodón
P0120,Camiseta algodón,2,24.31,2024-01-05 23:00:00,Verde,M,Online,Urban Trends,Global Textiles Inc.,Turquía,Algodón
P0121,Vestido estampado,1,96.62,2024-01-06 00:00:00,Rojo,M,Tienda física,Classic Elegance,HighTech Materials S.A.,México,Denim
P0122,Bufanda de lana,1,38.74,2024-01-06 01:00:00,Azul,M,Online,Urban Trends,Global Textiles Inc.,México,Denim
P0123,Pantalón denim,33,45.22,2024-01-06 02:00:00,Negro,L,Tienda física,Classic Elegance,HighTech Materials S.A.,India,Poliéster
P0124,Bufanda de lana,22,23.83,2024-01-06 03:00:00,Negro,S,Tienda física,Sporty Vibes,Global Textiles Inc.,China,Poliéster
P0125,Camiseta algodón,12,65.43,2024-01-06 04:00:00,Verde,L,Online,Urban Trends,Global Textiles Inc.,India,Denim
P0126,Pantalón denim,39,63.68,2024-01-06 05:00:00,Blanco,M,Tienda física,Classic Elegance,HighTech Materials S.A.,Bangladesh,Poliéster
P0127,Pantalón denim,36,49.8,2024-01-06 06:00:00,Rojo,XL,Tienda física,Classic Elegance,HighTech Materials S.A.,Bangladesh,Cuero
P0128,Vestido estampado,21,52.85,2024-01-06 07:00:00,Verde,XL,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Turquía,Lana
P0129,Vestido estampado,20,66.07,2024-01-06 08:00:00,Blanco,L,Tienda física,Classic Elegance,Eco Fabrics Ltd.,India,Denim
P0130,Pantalón denim,36,62.51,2024-01-06 09:00:00,Blanco,S,Tienda física,Classic Elegance,HighTech Materials S.A.,Turquía,Denim
P0131,Vestido estampado,26,43.68,2024-01-06 10:00:00,Blanco,M,Online,Urban Trends,HighTech Materials S.A.,China,Algodón
P0132,Pantalón denim,47,89.57,2024-01-06 11:00:00,Negro,S,Tienda física,Sporty Vibes,Global Textiles Inc.,México,Poliéster
P0133,Zapatos de cuero,31,70.09,2024-01-06 12:00:00,Rojo,S,Tienda física,Sporty Vibes,Global Textiles Inc.,México,Denim
P0134,Bufanda de lana,1,28.49,2024-01-06 13:00:00,Rojo,S,Online,Urban Trends,Eco Fabrics Ltd.,India,Denim
P0135,Zapatos de cuero,38,38.79,2024-01-06 14:00:00,Verde,M,Online,Urban Trends,Eco Fabrics Ltd.,Turquía,Cuero
P0136,Zapatos de cuero,14,80.91,2024-01-06 15:00:00,Azul,L,Online,Urban Trends,Eco Fabrics Ltd.,Turquía,Poliéster
P0137,Bufanda de lana,26,19.41,2024-01-06 16:00:00,Verde,M,Tienda física,Classic Elegance,Global Textiles Inc.,China,Lana
P0138,Pantalón denim,46,77.52,2024-01-06 17:00:00,Rojo,M,Tienda física,Sporty Vibes,Global Textiles Inc.,Turquía,Cuero
P0139,Pantalón denim,42,42.3,2024-01-06 18:00:00,Negro,L,Tienda física,Sporty Vibes,Global Textiles Inc.,Bangladesh,Lana
P0140,Vestido estampado,7,59.65,2024-01-06 19:00:00,Verde,L,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Bangladesh,Algodón
P0141,Camiseta algodón,12,35.25,2024-01-06 20:00:00,Azul,L,Tienda física,Classic Elegance,HighTech Materials S.A.,Bangladesh,Denim
P0142,Pantalón denim,24,98.78,2024-01-06 21:00:00,Verde,XL,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,India,Cuero
P0143,Bufanda de lana,19,91.53,2024-01-06 22:00:00,Blanco,XL,Tienda física,Sporty Vibes,Global Textiles Inc.,Bangladesh,Lana
P0144,Camiseta algodón,9,93.56,2024-01-06 23:00:00,Azul,L,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Bangladesh,Poliéster
P0145,Bufanda de lana,35,26.63,2024-01-07 00:00:00,Blanco,S,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,México,Algodón
P0146,Bufanda de lana,4,85.75,2024-01-07 01:00:00,Negro,XL,Online,Urban Trends,Eco Fabrics Ltd.,India,Algodón
P0147,Bufanda de lana,45,58.19,2024-01-07 02:00:00,Rojo,M,Tienda física,Classic Elegance,Eco Fabrics Ltd.,Bangladesh,Denim
P0148,Camiseta algodón,42,73.71,2024-01-07 03:00:00,Verde,M,Tienda física,Sporty Vibes,Global Textiles Inc.,China,Denim
P0149,Zapatos de cuero,32,29.58,2024-01-07 04:00:00,Verde,XL,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Bangladesh,Lana
P0150,Bufanda de lana,46,74.08,2024-01-07 05:00:00,Blanco,M,Tienda física,Sporty Vibes,Global Textiles Inc.,India,Lana
P0151,Vestido estampado,6,92.28,2024-01-07 06:00:00,Blanco,L,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Turquía,Algodón
P0152,Pantalón denim,28,34.07,2024-01-07 07:00:00,Rojo,M,Tienda física,Sporty Vibes,Global Textiles Inc.,México,Lana
P0153,Pantalón denim,28,31,2024-01-07 08:00:00,Verde,XL,Online,Urban Trends,HighTech Materials S.A.,México,Denim
P0154,Pantalón denim,40,19.4,2024-01-07 09:00:00,Rojo,S,Online,Urban Trends,Global Textiles Inc.,India,Algodón
P0155,Camiseta algodón,29,34.01,2024-01-07 10:00:00,Blanco,M,Tienda física,Classic Elegance,Global Textiles Inc.,Bangladesh,Algodón
P0156,Vestido estampado,42,58.22,2024-01-07 11:00:00,Blanco,M,Tienda física,Classic Elegance,HighTech Materials S.A.,China,Poliéster
P0157,Vestido estampado,5,84.94,2024-01-07 12:00:00,Azul,S,Tienda física,Sporty Vibes,HighTech Materials S.A.,Bangladesh,Poliéster
P0158,Vestido estampado,5,35.09,2024-01-07 13:00:00,Blanco,XL,Tienda física,Sporty Vibes,HighTech Materials S.A.,Bangladesh,Lana
P0159,Vestido estampado,37,65.9,2024-01-07 14:00:00,Blanco,S,Online,Urban Trends,HighTech Materials S.A.,China,Lana
P0160,Vestido estampado,41,53.16,2024-01-07 15:00:00,Rojo,M,Tienda física,Classic Elegance,HighTech Materials S.A.,México,Denim
P0161,Zapatos de cuero,28,35.97,2024-01-07 16:00:00,Azul,XL,Tienda física,Sporty Vibes,HighTech Materials S.A.,Bangladesh,Denim
P0162,Vestido estampado,41,55.93,2024-01-07 17:00:00,Azul,L,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Turquía,Poliéster
P0163,Vestido estampado,47,25.12,2024-01-07 18:00:00,Verde,XL,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Turquía,Algodón
P0164,Camiseta algodón,9,67.56,2024-01-07 19:00:00,Negro,XL,Tienda física,Classic Elegance,HighTech Materials S.A.,India,Cuero
P0165,Camiseta algodón,29,20.41,2024-01-07 20:00:00,Verde,L,Online,Urban Trends,Global Textiles Inc.,India,Cuero
P0166,Vestido estampado,14,75.79,2024-01-07 21:00:00,Verde,XL,Online,Urban Trends,Global Textiles Inc.,China,Lana
P0167,Zapatos de cuero,38,25.99,2024-01-07 22:00:00,Verde,M,Tienda física,Sporty Vibes,HighTech Materials S.A.,China,Cuero
P0168,Vestido estampado,40,99.83,2024-01-07 23:00:00,Azul,M,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,India,Cuero
P0169,Vestido estampado,34,84.13,2024-01-08 00:00:00,Rojo,M,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Bangladesh,Poliéster
P0170,Vestido estampado,37,40.95,2024-01-08 01:00:00,Blanco,M,Tienda física,Sporty Vibes,Global Textiles Inc.,México,Algodón
P0171,Bufanda de lana,49,48.36,2024-01-08 02:00:00,Azul,L,Tienda física,Sporty Vibes,HighTech Materials S.A.,Turquía,Denim
P0172,Zapatos de cuero,42,33.33,2024-01-08 03:00:00,Blanco,M,Tienda física,Classic Elegance,Eco Fabrics Ltd.,China,Poliéster
P0173,Pantalón denim,14,79.04,2024-01-08 04:00:00,Blanco,XL,Online,Urban Trends,HighTech Materials S.A.,India,Denim
P0174,Vestido estampado,18,44.27,2024-01-08 05:00:00,Negro,S,Tienda física,Classic Elegance,HighTech Materials S.A.,Turquía,Poliéster
P0175,Pantalón denim,33,77.97,2024-01-08 06:00:00,Verde,L,Tienda física,Classic Elegance,Global Textiles Inc.,China,Poliéster
P0176,Zapatos de cuero,34,11.66,2024-01-08 07:00:00,Negro,L,Tienda física,Sporty Vibes,HighTech Materials S.A.,China,Cuero
P0177,Vestido estampado,28,22.21,2024-01-08 08:00:00,Verde,S,Tienda física,Classic Elegance,HighTech Materials S.A.,Bangladesh,Denim
P0178,Pantalón denim,36,42.85,2024-01-08 09:00:00,Azul,M,Online,Urban Trends,Global Textiles Inc.,China,Poliéster
P0179,Pantalón denim,45,19.8,2024-01-08 10:00:00,Blanco,M,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,México,Cuero
P0180,Zapatos de cuero,48,64.1,2024-01-08 11:00:00,Negro,XL,Online,Urban Trends,HighTech Materials S.A.,China,Lana
P0181,Vestido estampado,37,14.57,2024-01-08 12:00:00,Azul,M,Tienda física,Classic Elegance,Global Textiles Inc.,México,Denim
P0182,Bufanda de lana,23,87.38,2024-01-08 13:00:00,Azul,M,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Bangladesh,Poliéster
P0183,Zapatos de cuero,42,78.52,2024-01-08 14:00:00,Verde,XL,Online,Urban Trends,HighTech Materials S.A.,México,Lana
P0184,Bufanda de lana,17,29.46,2024-01-08 15:00:00,Blanco,M,Online,Urban Trends,Eco Fabrics Ltd.,Turquía,Cuero
P0185,Vestido estampado,11,53.54,2024-01-08 16:00:00,Verde,S,Tienda física,Sporty Vibes,Global Textiles Inc.,China,Poliéster
P0186,Pantalón denim,32,50.66,2024-01-08 17:00:00,Verde,M,Online,Urban Trends,HighTech Materials S.A.,India,Cuero
P0187,Zapatos de cuero,37,75.24,2024-01-08 18:00:00,Azul,S,Tienda física,Sporty Vibes,Global Textiles Inc.,India,Cuero
P0188,Zapatos de cuero,15,46.14,2024-01-08 19:00:00,Verde,S,Tienda física,Sporty Vibes,Global Textiles Inc.,México,Cuero
P0189,Zapatos de cuero,4,12.96,2024-01-08 20:00:00,Rojo,S,Tienda física,Classic Elegance,HighTech Materials S.A.,Bangladesh,Denim
P0190,Camiseta algodón,39,34.64,2024-01-08 21:00:00,Blanco,M,Online,Urban Trends,Global Textiles Inc.,México,Lana
P0191,Vestido estampado,30,51.96,2024-01-08 22:00:00,Verde,M,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,México,Lana
