ID_Producto,Producto,Cantidad,Precio_Total,Fecha_de_Venta,Color,Tamaño,Canal_de_Venta,Marca,Proveedor,Pais_de_Origen,Material
P0070,Vestido estampado,7,267.05,"Wednesday, 3 January 2024",Verde,L,Online,Urban Trends,Eco Fabrics Ltd.,India,Denim
P0071,Camiseta algodón,43,1094.35,"Wednesday, 3 January 2024",Blanco,L,Tienda física,Classic Elegance,HighTech Materials S.A.,India,Cuero
P0072,Pantalón denim,20,1719.8,"Wednesday, 3 January 2024",Azul,L,Online,Modern Fusion,Global Textiles Inc.,México,Algodón
P0073,Bufanda de lana,34,1795.2,"Thursday, 4 January 2024",Negro,S,Online,Modern Fusion,Eco Fabrics Ltd.,India,Algodón
P0074,Pantalón denim,36,3095.64,"Thursday, 4 January 2024",Negro,XL,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Bangladesh,Algodón
P0075,Camiseta algodón,7,178.15,"Thursday, 4 January 2024",Blanco,XL,Online,Modern Fusion,Eco Fabrics Ltd.,India,Denim
P0076,Camiseta algodón,33,839.85,"Thursday, 4 January 2024",Blanco,XL,Online,Urban Trends,Eco Fabrics Ltd.,Turquía,Denim
P0077,Camiseta algodón,15,381.75,"Thursday, 4 January 2024",Rojo,S,Online,Modern Fusion,Global Textiles Inc.,México,Cuero
P0078,Zapatos de cuero,32,1287.04,"Thursday, 4 January 2024",Azul,S,Tienda física,Sporty Vibes,Global Textiles Inc.,India,Algodón
P0079,Bufanda de lana,22,1161.6,"Thursday, 4 January 2024",Verde,M,Online,Modern Fusion,HighTech Materials S.A.,India,Algodón
P0080,Bufanda de lana,40,2112,"Thursday, 4 January 2024",Verde,L,Tienda física,Classic Elegance,Global Textiles Inc.,México,Cuero
P0081,Bufanda de lana,29,1531.2,"Thursday, 4 January 2024",Negro,XL,Online,Modern Fusion,Eco Fabrics Ltd.,China,Cuero
P0082,Zapatos de cuero,25,1005.5,"Thursday, 4 January 2024",Blanco,M,Tienda física,Classic Elegance,Eco Fabrics Ltd.,Bangladesh,Cuero
P0083,Camiseta algodón,5,127.25,"Thursday, 4 January 2024",Azul,M,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Bangladesh,Poliéster
P0084,Camiseta algodón,14,356.3,"Thursday, 4 January 2024",Negro,L,Tienda física,Sporty Vibes,HighTech Materials S.A.,India,Cuero
P0085,Pantalón denim,35,3009.65,"Thursday, 4 January 2024",Azul,S,Tienda física,Sporty Vibes,Global Textiles Inc.,México,Lana
P0086,Zapatos de cuero,2,80.44,"Thursday, 4 January 2024",Blanco,M,Tienda física,Sporty Vibes,Global Textiles Inc.,Turquía,Denim
P0087,Vestido estampado,25,953.75,"Thursday, 4 January 2024",Verde,S,Online,Modern Fusion,Global Textiles Inc.,India,Cuero
P0088,Zapatos de cuero,16,643.52,"Thursday, 4 January 2024",Rojo,S,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Bangladesh,Poliéster
P0089,Pantalón denim,46,3955.54,"Thursday, 4 January 2024",Azul,L,Tienda física,Classic Elegance,Eco Fabrics Ltd.,India,Lana
P0090,Pantalón denim,16,1375.84,"Thursday, 4 January 2024",Verde,M,Online,Modern Fusion,Eco Fabrics Ltd.,México,Poliéster
P0091,Pantalón denim,11,945.89,"Thursday, 4 January 2024",Azul,XL,Tienda física,Classic Elegance,HighTech Materials S.A.,Turquía,Poliéster
P0092,Camiseta algodón,49,1247.05,"Thursday, 4 January 2024",Azul,M,Online,Modern Fusion,HighTech Materials S.A.,China,Poliéster
P0093,Vestido estampado,35,1335.25,"Thursday, 4 January 2024",Azul,XL,Online,Modern Fusion,Eco Fabrics Ltd.,Turquía,Poliéster
P0094,Pantalón denim,23,1977.77,"Thursday, 4 January 2024",Blanco,XL,Tienda física,Sporty Vibes,HighTech Materials S.A.,India,Algodón
P0095,Bufanda de lana,5,264,"Thursday, 4 January 2024",Negro,S,Online,Modern Fusion,HighTech Materials S.A.,Bangladesh,Denim
P0096,Camiseta algodón,35,890.75,"Thursday, 4 January 2024",Azul,XL,Tienda física,Classic Elegance,HighTech Materials S.A.,México,Algodón
P0097,Vestido estampado,29,1106.35,"Friday, 5 January 2024",Blanco,L,Tienda física,Classic Elegance,Global Textiles Inc.,India,Lana
P0098,Bufanda de lana,47,2481.6,"Friday, 5 January 2024",Rojo,M,Tienda física,Classic Elegance,HighTech Materials S.A.,China,Algodón
P0099,Vestido estampado,5,190.75,"Friday, 5 January 2024",Negro,S,Online,Modern Fusion,Eco Fabrics Ltd.,México,Lana
P0100,Vestido estampado,3,114.45,"Friday, 5 January 2024",Blanco,S,Online,Modern Fusion,Global Textiles Inc.,México,Cuero
P0101,Bufanda de lana,6,316.8,"Friday, 5 January 2024",Rojo,XL,Online,Modern Fusion,HighTech Materials S.A.,México,Lana
P0102,Zapatos de cuero,23,925.06,"Friday, 5 January 2024",Negro,S,Online,Urban Trends,Eco Fabrics Ltd.,India,Algodón
P0103,Vestido estampado,46,1754.9,"Friday, 5 January 2024",Blanco,L,Tienda física,Sporty Vibes,HighTech Materials S.A.,China,Algodón
P0104,Zapatos de cuero,2,80.44,"Friday, 5 January 2024",Rojo,L,Online,Modern Fusion,Eco Fabrics Ltd.,India,Lana
P0105,Vestido estampado,18,686.7,"Friday, 5 January 2024",Blanco,S,Online,Modern Fusion,Eco Fabrics Ltd.,México,Algodón
P0106,Bufanda de lana,30,1584,"Friday, 5 January 2024",Rojo,S,Tienda física,Sporty Vibes,HighTech Materials S.A.,México,Lana
P0107,Vestido estampado,38,1449.7,"Friday, 5 January 2024",Azul,L,Online,Modern Fusion,HighTech Materials S.A.,Bangladesh,Poliéster
P0108,Pantalón denim,5,429.95,"Friday, 5 January 2024",Azul,XL,Online,Modern Fusion,Global Textiles Inc.,Turquía,Denim
P0109,Pantalón denim,46,3955.54,"Friday, 5 January 2024",Negro,S,Online,Modern Fusion,HighTech Materials S.A.,India,Lana
P0110,Vestido estampado,49,1869.35,"Friday, 5 January 2024",Rojo,XL,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,China,Poliéster
P0111,Bufanda de lana,11,580.8,"Friday, 5 January 2024",Azul,S,Online,Modern Fusion,Global Textiles Inc.,México,Poliéster
P0112,Bufanda de lana,1,52.8,"Friday, 5 January 2024",Negro,L,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,India,Poliéster
P0113,Camiseta algodón,10,254.5,"Friday, 5 January 2024",Verde,S,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Turquía,Poliéster
P0114,Bufanda de lana,41,2164.8,"Friday, 5 January 2024",Azul,S,Online,Urban Trends,HighTech Materials S.A.,India,Lana
P0115,Zapatos de cuero,44,1769.68,"Friday, 5 January 2024",Azul,S,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Turquía,Algodón
P0116,Vestido estampado,26,991.9,"Friday, 5 January 2024",Blanco,L,Online,Modern Fusion,HighTech Materials S.A.,India,Poliéster
P0117,Pantalón denim,33,2837.67,"Friday, 5 January 2024",Verde,L,Tienda física,Classic Elegance,Eco Fabrics Ltd.,Bangladesh,Cuero
P0118,Bufanda de lana,27,1425.6,"Friday, 5 January 2024",Rojo,L,Online,Modern Fusion,Global Textiles Inc.,India,Poliéster
P0119,Pantalón denim,12,1031.88,"Friday, 5 January 2024",Negro,M,Online,Urban Trends,HighTech Materials S.A.,Bangladesh,Algodón
P0120,Camiseta algodón,2,50.9,"Friday, 5 January 2024",Verde,M,Tienda física,Sporty Vibes,Global Textiles Inc.,Turquía,Algodón
P0121,Vestido estampado,1,38.15,"Saturday, 6 January 2024",Rojo,M,Online,Modern Fusion,HighTech Materials S.A.,México,Denim
P0122,Bufanda de lana,1,52.8,"Saturday, 6 January 2024",Azul,M,Online,Modern Fusion,Global Textiles Inc.,México,Denim
P0123,Pantalón denim,33,2837.67,"Saturday, 6 January 2024",Negro,L,Online,Urban Trends,HighTech Materials S.A.,India,Poliéster
P0124,Bufanda de lana,22,1161.6,"Saturday, 6 January 2024",Negro,S,Online,Modern Fusion,Global Textiles Inc.,China,Poliéster
P0125,Camiseta algodón,12,305.4,"Saturday, 6 January 2024",Verde,L,Online,Modern Fusion,Global Textiles Inc.,India,Denim
P0126,Pantalón denim,39,3353.61,"Saturday, 6 January 2024",Blanco,M,Tienda física,Classic Elegance,HighTech Materials S.A.,Bangladesh,Poliéster
P0127,Pantalón denim,36,3095.64,"Saturday, 6 January 2024",Rojo,XL,Tienda física,Sporty Vibes,HighTech Materials S.A.,Bangladesh,Cuero
P0128,Vestido estampado,21,801.15,"Saturday, 6 January 2024",Verde,XL,Tienda física,Classic Elegance,Eco Fabrics Ltd.,Turquía,Lana
P0129,Vestido estampado,20,763,"Saturday, 6 January 2024",Blanco,L,Tienda física,Classic Elegance,Eco Fabrics Ltd.,India,Denim
P0130,Pantalón denim,36,3095.64,"Saturday, 6 January 2024",Blanco,S,Tienda física,Classic Elegance,HighTech Materials S.A.,Turquía,Denim
P0131,Vestido estampado,26,991.9,"Saturday, 6 January 2024",Blanco,M,Tienda física,Classic Elegance,HighTech Materials S.A.,China,Algodón
P0132,Pantalón denim,47,4041.53,"Saturday, 6 January 2024",Negro,S,Online,Modern Fusion,Global Textiles Inc.,México,Poliéster
P0133,Zapatos de cuero,31,1246.82,"Saturday, 6 January 2024",Rojo,S,Tienda física,Classic Elegance,Global Textiles Inc.,México,Denim
P0134,Bufanda de lana,1,52.8,"Saturday, 6 January 2024",Rojo,S,Online,Urban Trends,Eco Fabrics Ltd.,India,Denim
P0135,Zapatos de cuero,38,1528.36,"Saturday, 6 January 2024",Verde,M,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Turquía,Cuero
P0136,Zapatos de cuero,14,563.08,"Saturday, 6 January 2024",Azul,L,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Turquía,Poliéster
P0137,Bufanda de lana,26,1372.8,"Saturday, 6 January 2024",Verde,M,Tienda física,Sporty Vibes,Global Textiles Inc.,China,Lana
P0138,Pantalón denim,46,3955.54,"Saturday, 6 January 2024",Rojo,M,Tienda física,Sporty Vibes,Global Textiles Inc.,Turquía,Cuero
P0139,Pantalón denim,42,3611.58,"Saturday, 6 January 2024",Negro,L,Online,Modern Fusion,Global Textiles Inc.,Bangladesh,Lana
P0140,Vestido estampado,7,267.05,"Saturday, 6 January 2024",Verde,L,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Bangladesh,Algodón
P0141,Camiseta algodón,12,305.4,"Saturday, 6 January 2024",Azul,L,Online,Urban Trends,HighTech Materials S.A.,Bangladesh,Denim
P0142,Pantalón denim,24,2063.76,"Saturday, 6 January 2024",Verde,XL,Online,Urban Trends,Eco Fabrics Ltd.,India,Cuero
P0143,Bufanda de lana,19,1003.2,"Saturday, 6 January 2024",Blanco,XL,Tienda física,Sporty Vibes,Global Textiles Inc.,Bangladesh,Lana
P0144,Camiseta algodón,9,229.05,"Saturday, 6 January 2024",Azul,L,Online,Modern Fusion,Eco Fabrics Ltd.,Bangladesh,Poliéster
P0145,Bufanda de lana,35,1848,"Sunday, 7 January 2024",Blanco,S,Online,Urban Trends,Eco Fabrics Ltd.,México,Algodón
P0146,Bufanda de lana,4,211.2,"Sunday, 7 January 2024",Negro,XL,Online,Modern Fusion,Eco Fabrics Ltd.,India,Algodón
P0147,Bufanda de lana,45,2376,"Sunday, 7 January 2024",Rojo,M,Online,Modern Fusion,Eco Fabrics Ltd.,Bangladesh,Denim
P0148,Camiseta algodón,42,1068.9,"Sunday, 7 January 2024",Verde,M,Tienda física,Sporty Vibes,Global Textiles Inc.,China,Denim
P0149,Zapatos de cuero,32,1287.04,"Sunday, 7 January 2024",Verde,XL,Tienda física,Classic Elegance,Eco Fabrics Ltd.,Bangladesh,Lana
P0150,Bufanda de lana,46,2428.8,"Sunday, 7 January 2024",Blanco,M,Tienda física,Classic Elegance,Global Textiles Inc.,India,Lana
P0151,Vestido estampado,6,228.9,"Sunday, 7 January 2024",Blanco,L,Online,Modern Fusion,Eco Fabrics Ltd.,Turquía,Algodón
P0152,Pantalón denim,28,2407.72,"Sunday, 7 January 2024",Rojo,M,Tienda física,Sporty Vibes,Global Textiles Inc.,México,Lana
P0153,Pantalón denim,28,2407.72,"Sunday, 7 January 2024",Verde,XL,Online,Urban Trends,HighTech Materials S.A.,México,Denim
P0154,Pantalón denim,40,3439.6,"Sunday, 7 January 2024",Rojo,S,Tienda física,Classic Elegance,Global Textiles Inc.,India,Algodón
P0155,Camiseta algodón,29,738.05,"Sunday, 7 January 2024",Blanco,M,Online,Urban Trends,Global Textiles Inc.,Bangladesh,Algodón
P0156,Vestido estampado,42,1602.3,"Sunday, 7 January 2024",Blanco,M,Tienda física,Classic Elegance,HighTech Materials S.A.,China,Poliéster
P0157,Vestido estampado,5,190.75,"Sunday, 7 January 2024",Azul,S,Tienda física,Classic Elegance,HighTech Materials S.A.,Bangladesh,Poliéster
P0158,Vestido estampado,5,190.75,"Sunday, 7 January 2024",Blanco,XL,Tienda física,Classic Elegance,HighTech Materials S.A.,Bangladesh,Lana
P0159,Vestido estampado,37,1411.55,"Sunday, 7 January 2024",Blanco,S,Online,Urban Trends,HighTech Materials S.A.,China,Lana
P0160,Vestido estampado,41,1564.15,"Sunday, 7 January 2024",Rojo,M,Online,Modern Fusion,HighTech Materials S.A.,México,Denim
P0161,Zapatos de cuero,28,1126.16,"Sunday, 7 January 2024",Azul,XL,Online,Modern Fusion,HighTech Materials S.A.,Bangladesh,Denim
P0162,Vestido estampado,41,1564.15,"Sunday, 7 January 2024",Azul,L,Online,Modern Fusion,Eco Fabrics Ltd.,Turquía,Poliéster
P0163,Vestido estampado,47,1793.05,"Sunday, 7 January 2024",Verde,XL,Online,Urban Trends,Eco Fabrics Ltd.,Turquía,Algodón
P0164,Camiseta algodón,9,229.05,"Sunday, 7 January 2024",Negro,XL,Tienda física,Classic Elegance,HighTech Materials S.A.,India,Cuero
P0165,Camiseta algodón,29,738.05,"Sunday, 7 January 2024",Verde,L,Tienda física,Sporty Vibes,Global Textiles Inc.,India,Cuero
P0166,Vestido estampado,14,534.1,"Sunday, 7 January 2024",Verde,XL,Online,Modern Fusion,Global Textiles Inc.,China,Lana
P0167,Zapatos de cuero,38,1528.36,"Sunday, 7 January 2024",Verde,M,Online,Modern Fusion,HighTech Materials S.A.,China,Cuero
P0168,Vestido estampado,40,1526,"Sunday, 7 January 2024",Azul,M,Tienda física,Classic Elegance,Eco Fabrics Ltd.,India,Cuero
P0169,Vestido estampado,34,1297.1,"Monday, 8 January 2024",Rojo,M,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,Bangladesh,Poliéster
P0170,Vestido estampado,37,1411.55,"Monday, 8 January 2024",Blanco,M,Online,Modern Fusion,Global Textiles Inc.,México,Algodón
P0171,Bufanda de lana,49,2587.2,"Monday, 8 January 2024",Azul,L,Online,Modern Fusion,HighTech Materials S.A.,Turquía,Denim
P0172,Zapatos de cuero,42,1689.24,"Monday, 8 January 2024",Blanco,M,Online,Urban Trends,Eco Fabrics Ltd.,China,Poliéster
P0173,Pantalón denim,14,1203.86,"Monday, 8 January 2024",Blanco,XL,Online,Modern Fusion,HighTech Materials S.A.,India,Denim
P0174,Vestido estampado,18,686.7,"Monday, 8 January 2024",Negro,S,Online,Modern Fusion,HighTech Materials S.A.,Turquía,Poliéster
P0175,Pantalón denim,33,2837.67,"Monday, 8 January 2024",Verde,L,Tienda física,Classic Elegance,Global Textiles Inc.,China,Poliéster
P0176,Zapatos de cuero,34,1367.48,"Monday, 8 January 2024",Negro,L,Online,Modern Fusion,HighTech Materials S.A.,China,Cuero
P0177,Vestido estampado,28,1068.2,"Monday, 8 January 2024",Verde,S,Online,Modern Fusion,HighTech Materials S.A.,Bangladesh,Denim
P0178,Pantalón denim,36,3095.64,"Monday, 8 January 2024",Azul,M,Online,Modern Fusion,Global Textiles Inc.,China,Poliéster
P0179,Pantalón denim,45,3869.55,"Monday, 8 January 2024",Blanco,M,Tienda física,Sporty Vibes,Eco Fabrics Ltd.,México,Cuero
P0180,Zapatos de cuero,48,1930.56,"Monday, 8 January 2024",Negro,XL,Tienda física,Sporty Vibes,HighTech Materials S.A.,China,Lana
P0181,Vestido estampado,37,1411.55,"Monday, 8 January 2024",Azul,M,Online,Modern Fusion,Global Textiles Inc.,México,Denim
P0182,Bufanda de lana,23,1214.4,"Monday, 8 January 2024",Azul,M,Online,Urban Trends,Eco Fabrics Ltd.,Bangladesh,Poliéster
P0183,Zapatos de cuero,42,1689.24,"Monday, 8 January 2024",Verde,XL,Tienda física,Sporty Vibes,HighTech Materials S.A.,México,Lana
P0184,Bufanda de lana,17,897.6,"Monday, 8 January 2024",Blanco,M,Tienda física,Classic Elegance,Eco Fabrics Ltd.,Turquía,Cuero
P0185,Vestido estampado,11,419.65,"Monday, 8 January 2024",Verde,S,Online,Modern Fusion,Global Textiles Inc.,China,Poliéster
P0186,Pantalón denim,32,2751.68,"Monday, 8 January 2024",Verde,M,Online,Modern Fusion,HighTech Materials S.A.,India,Cuero
P0187,Zapatos de cuero,37,1488.14,"Monday, 8 January 2024",Azul,S,Online,Modern Fusion,Global Textiles Inc.,India,Cuero
P0188,Zapatos de cuero,15,603.3,"Monday, 8 January 2024",Verde,S,Online,Modern Fusion,Global Textiles Inc.,México,Cuero
P0189,Zapatos de cuero,4,160.88,"Monday, 8 January 2024",Rojo,S,Tienda física,Classic Elegance,HighTech Materials S.A.,Bangladesh,Denim
